wid,predicted_category
2053,affection
2,affection
1936,exercise
206,bonding
6227,affection
45,leisure
195,achievement
740,affection
3,enjoy_the_moment
4833,affection
7334,leisure
78,exercise
21,bonding
8,achievement
586,enjoy_the_moment
489,affection
976,bonding
3972,achievement
14,bonding
1230,affection
9950,achievement
4862,affection
4891,achievement
737,enjoy_the_moment
498,affection
2124,achievement
156,affection
1783,leisure
3382,affection
54,affection
794,affection
1510,achievement
5732,affection
6215,affection
402,nature
2957,bonding
261,nature
516,affection
1215,bonding
848,affection
396,affection
4,achievement
2272,bonding
157,affection
466,affection
1566,enjoy_the_moment
36,achievement
2019,bonding
4109,nature
373,affection
389,leisure
10576,enjoy_the_moment
2129,achievement
383,achievement
553,achievement
311,achievement
104,affection
3284,achievement
2776,affection
25,achievement
257,affection
13224,achievement
1377,achievement
5652,bonding
57,affection
612,achievement
2646,affection
2794,achievement
3797,affection
9885,affection
6186,affection
491,affection
1020,achievement
1625,achievement
1782,affection
330,achievement
589,affection
35,exercise
524,achievement
477,enjoy_the_moment
37,achievement
215,affection
2416,affection
8589,leisure
237,enjoy_the_moment
69,achievement
648,enjoy_the_moment
1833,achievement
1430,exercise
15,affection
1300,achievement
102,affection
449,achievement
555,achievement
2628,achievement
1028,enjoy_the_moment
76,exercise
689,affection
5046,enjoy_the_moment
5116,enjoy_the_moment
1199,achievement
1517,bonding
251,achievement
681,affection
3704,achievement
738,enjoy_the_moment
9896,leisure
932,achievement
8662,enjoy_the_moment
3147,enjoy_the_moment
1094,enjoy_the_moment
4148,affection
1057,nature
11573,affection
13,affection
2349,achievement
24,affection
72,achievement
2029,affection
120,affection
266,affection
3009,affection
479,achievement
905,bonding
2032,enjoy_the_moment
820,achievement
341,affection
455,affection
435,affection
1719,achievement
6667,achievement
4714,affection
3895,affection
3930,achievement
600,bonding
3433,affection
2894,affection
1764,achievement
376,achievement
213,exercise
5925,affection
1827,achievement
1189,achievement
4706,bonding
12580,affection
229,achievement
496,nature
802,achievement
1983,achievement
924,affection
4002,exercise
146,affection
220,leisure
38,affection
503,achievement
51,achievement
1063,bonding
6724,affection
2356,affection
12002,affection
3678,enjoy_the_moment
1836,affection
786,enjoy_the_moment
81,bonding
699,bonding
5,leisure
947,exercise
62,affection
9386,affection
18,enjoy_the_moment
60,affection
50,achievement
179,affection
11620,leisure
1773,affection
728,affection
1115,exercise
3400,affection
158,affection
86,achievement
5050,affection
1,affection
12107,affection
26,affection
2333,achievement
1232,achievement
570,achievement
746,affection
4545,affection
1844,affection
847,achievement
2394,achievement
8938,affection
2030,affection
103,affection
2464,achievement
1672,bonding
7542,achievement
768,affection
1045,bonding
2053,leisure
2,affection
1936,affection
206,nature
6227,affection
45,bonding
195,achievement
740,bonding
3,enjoy_the_moment
4833,affection
7334,affection
78,enjoy_the_moment
21,affection
8,affection
586,leisure
489,achievement
976,affection
3972,affection
14,affection
1230,affection
9950,bonding
4862,affection
4891,achievement
737,bonding
498,achievement
2124,achievement
156,affection
1783,bonding
3382,achievement
54,affection
794,affection
1510,exercise
5732,nature
6215,affection
402,affection
2957,affection
261,affection
516,affection
1215,bonding
848,affection
396,nature
4,affection
2272,achievement
157,leisure
466,affection
1566,affection
36,achievement
2019,achievement
4109,affection
373,bonding
389,affection
10576,achievement
2129,nature
383,enjoy_the_moment
553,achievement
311,enjoy_the_moment
104,achievement
3284,achievement
2776,affection
25,achievement
257,affection
13224,achievement
1377,achievement
5652,leisure
57,bonding
612,achievement
2646,affection
2794,achievement
3797,achievement
9885,affection
6186,enjoy_the_moment
491,leisure
1020,achievement
1625,achievement
1782,achievement
330,achievement
589,exercise
35,affection
524,bonding
477,achievement
37,leisure
215,affection
2416,enjoy_the_moment
8589,achievement
237,achievement
69,affection
648,bonding
1833,affection
1430,achievement
15,achievement
1300,affection
102,leisure
449,affection
555,enjoy_the_moment
2628,enjoy_the_moment
1028,affection
76,bonding
689,affection
5046,affection
5116,affection
1199,bonding
1517,affection
251,achievement
681,achievement
3704,achievement
738,enjoy_the_moment
9896,enjoy_the_moment
932,achievement
8662,affection
3147,affection
1094,leisure
4148,nature
1057,achievement
11573,enjoy_the_moment
13,achievement
2349,bonding
24,bonding
72,affection
2029,affection
120,affection
266,enjoy_the_moment
3009,achievement
479,affection
905,achievement
2032,achievement
820,affection
341,achievement
455,nature
435,bonding
1719,bonding
6667,achievement
4714,enjoy_the_moment
3895,achievement
3930,achievement
600,affection
3433,achievement
2894,enjoy_the_moment
1764,affection
376,enjoy_the_moment
213,achievement
5925,affection
1827,leisure
1189,achievement
4706,leisure
12580,nature
229,bonding
496,achievement
802,bonding
1983,achievement
924,achievement
4002,achievement
146,achievement
220,achievement
38,achievement
503,achievement
51,bonding
1063,bonding
6724,achievement
2356,bonding
12002,achievement
3678,bonding
1836,affection
786,affection
81,bonding
699,affection
5,bonding
947,achievement
62,affection
9386,affection
18,achievement
60,achievement
50,achievement
179,leisure
11620,affection
1773,nature
728,nature
1115,affection
3400,affection
158,affection
86,achievement
5050,leisure
1,affection
12107,affection
26,affection
2333,affection
1232,achievement
570,bonding
746,achievement
4545,affection
1844,affection
847,achievement
2394,enjoy_the_moment
8938,achievement
2030,achievement
103,affection
2464,affection
1672,leisure
7542,achievement
768,bonding
1045,bonding
2053,leisure
2,achievement
1936,bonding
206,affection
6227,affection
45,enjoy_the_moment
195,affection
740,bonding
3,affection
4833,affection
7334,affection
78,affection
21,achievement
8,bonding
586,enjoy_the_moment
489,affection
976,affection
3972,leisure
14,achievement
1230,achievement
9950,achievement
4862,achievement
4891,achievement
737,enjoy_the_moment
498,achievement
2124,achievement
156,enjoy_the_moment
1783,achievement
3382,bonding
54,affection
794,achievement
1510,enjoy_the_moment
5732,affection
6215,achievement
402,affection
2957,enjoy_the_moment
261,bonding
516,achievement
1215,affection
848,affection
396,affection
4,achievement
2272,achievement
157,leisure
466,bonding
1566,achievement
36,achievement
2019,achievement
4109,bonding
373,achievement
389,leisure
10576,achievement
2129,affection
383,exercise
553,affection
311,achievement
104,affection
3284,bonding
2776,affection
25,achievement
257,affection
13224,leisure
1377,affection
5652,bonding
57,leisure
