wid,age,country,gender,marital,parenthood,predicted_category
2366,30,USA,o,single,n,exercise
4101,23,USA,m,single,n,achievement
2366,30,USA,o,single,n,enjoy_the_moment
4101,23,USA,m,single,n,achievement
2366,30,USA,o,single,n,affection
4101,23,USA,m,single,n,bonding
7993,23,USA,f,single,n,affection
7993,23,USA,f,single,n,achievement
7993,23,USA,f,single,n,bonding
1959,36,USA,m,married,y,achievement
1959,36,USA,m,married,y,affection
1959,36,USA,m,married,y,leisure
13289,21,USA,m,single,n,leisure
13289,21,USA,m,single,n,leisure
13289,21,USA,m,single,n,achievement
6620,36,SGP,m,single,n,leisure
6620,36,SGP,m,single,n,achievement
6620,36,SGP,m,single,n,leisure
11748,38,USA,f,married,y,affection
11141,28,UMI,m,single,n,bonding
11748,38,USA,f,married,y,affection
11141,28,UMI,m,single,n,exercise
11748,38,USA,f,married,y,bonding
11141,28,UMI,m,single,n,achievement
12799,39,USA,f,single,n,achievement
12799,39,USA,f,single,n,affection
12799,39,USA,f,single,n,affection
7880,60,USA,f,single,y,affection
7880,60,USA,f,single,y,enjoy_the_moment
7880,60,USA,f,single,y,bonding
2366,30,USA,o,single,n,exercise
9852,24,USA,m,single,n,enjoy_the_moment
5803,25,USA,m,single,n,achievement
4900,22,USA,m,married,y,affection
4935,20,USA,m,single,n,affection
9427,41,USA,m,married,n,achievement
6357,28,USA,m,single,n,affection
2142,26,USA,f,married,y,affection
7982,22,USA,m,married,y,achievement
2366,30,USA,o,single,n,enjoy_the_moment
9852,24,USA,m,single,n,bonding
5803,25,USA,m,single,n,leisure
4900,22,USA,m,married,y,affection
4935,20,USA,m,single,n,achievement
9427,41,USA,m,married,n,affection
6357,28,USA,m,single,n,nature
2142,26,USA,f,married,y,affection
7982,22,USA,m,married,y,affection
2366,30,USA,o,single,n,enjoy_the_moment
9852,24,USA,m,single,n,bonding
5803,25,USA,m,single,n,affection
4900,22,USA,m,married,y,achievement
4935,20,USA,m,single,n,achievement
9427,41,USA,m,married,n,achievement
6357,28,USA,m,single,n,affection
2142,26,USA,f,married,y,affection
7982,22,USA,m,married,y,achievement
4101,23,USA,m,single,n,achievement
7253,20,USA,m,single,n,achievement
7754,22,USA,m,single,n,bonding
4101,23,USA,m,single,n,bonding
7253,20,USA,m,single,n,affection
7754,22,USA,m,single,n,affection
4101,23,USA,m,single,n,achievement
7253,20,USA,m,single,n,affection
7754,22,USA,m,single,n,affection
5518,27,USA,m,married,y,affection
5518,27,USA,m,married,y,affection
5518,27,USA,m,married,y,affection
4900,22,USA,m,married,y,affection
2866,22,USA,m,single,n,achievement
4900,22,USA,m,married,y,affection
2866,22,USA,m,single,n,achievement
4900,22,USA,m,married,y,affection
2866,22,USA,m,single,n,enjoy_the_moment
7240,27,USA,m,single,n,affection
8086,32,GBR,m,divorced,y,achievement
9465,29,USA,m,single,n,achievement
7240,27,USA,m,single,n,achievement
8086,32,GBR,m,divorced,y,bonding
9465,29,USA,m,single,n,achievement
7240,27,USA,m,single,n,achievement
8086,32,GBR,m,divorced,y,achievement
9465,29,USA,m,single,n,bonding
8638,29,USA,m,single,n,achievement
12027,19,USA,m,single,n,affection
8638,29,USA,m,single,n,bonding
12027,19,USA,m,single,n,achievement
8638,29,USA,m,single,n,achievement
12027,19,USA,m,single,n,bonding
9900,27,USA,o,single,n,achievement
13285,24,USA,f,single,n,achievement
9900,27,USA,o,single,n,bonding
13285,24,USA,f,single,n,affection
9900,27,USA,o,single,n,enjoy_the_moment
13285,24,USA,f,single,n,enjoy_the_moment
8592,38,IND,m,married,n,achievement
8592,38,IND,m,married,n,enjoy_the_moment
8592,38,IND,m,married,n,achievement
3175,64,USA,f,married,y,affection
3997,34,USA,m,married,y,affection
3175,64,USA,f,married,y,affection
3997,34,USA,m,married,y,affection
3175,64,USA,f,married,y,affection
3997,34,USA,m,married,y,achievement
6654,20,USA,m,single,n,achievement
4519,24,SVN,m,married,y,affection
2659,35,USA,m,single,n,achievement
3794,32,USA,m,single,n,achievement
3175,64,USA,f,married,y,affection
6654,20,USA,m,single,n,leisure
4519,24,SVN,m,married,y,leisure
2659,35,USA,m,single,n,affection
3794,32,USA,m,single,n,achievement
3175,64,USA,f,married,y,affection
6654,20,USA,m,single,n,bonding
4519,24,SVN,m,married,y,affection
2659,35,USA,m,single,n,affection
3794,32,USA,m,single,n,bonding
3175,64,USA,f,married,y,affection
10817,25,USA,f,single,n,achievement
13832,34,USA,f,married,y,affection
10817,25,USA,f,single,n,affection
13832,34,USA,f,married,y,affection
10817,25,USA,f,single,n,affection
13832,34,USA,f,married,y,enjoy_the_moment
11858,24,USA,f,married,n,affection
11858,24,USA,f,married,n,enjoy_the_moment
11858,24,USA,f,married,n,affection
2366,30,USA,o,single,n,enjoy_the_moment
4935,20,USA,m,single,n,achievement
2659,35,USA,m,single,n,affection
6658,29,USA,m,single,n,achievement
2366,30,USA,o,single,n,achievement
4935,20,USA,m,single,n,achievement
2659,35,USA,m,single,n,achievement
6658,29,USA,m,single,n,achievement
2366,30,USA,o,single,n,exercise
4935,20,USA,m,single,n,achievement
2659,35,USA,m,single,n,affection
6658,29,USA,m,single,n,enjoy_the_moment
3997,34,USA,m,married,y,leisure
3997,34,USA,m,married,y,enjoy_the_moment
3997,34,USA,m,married,y,affection
7554,36,USA,f,divorced,y,affection
2142,26,USA,f,married,y,achievement
4519,24,SVN,m,married,y,enjoy_the_moment
2659,35,USA,m,single,n,affection
7554,36,USA,f,divorced,y,affection
2142,26,USA,f,married,y,achievement
4519,24,SVN,m,married,y,enjoy_the_moment
2659,35,USA,m,single,n,nature
7554,36,USA,f,divorced,y,bonding
2142,26,USA,f,married,y,affection
4519,24,SVN,m,married,y,achievement
2659,35,USA,m,single,n,affection
2142,26,USA,f,married,y,affection
6466,39,USA,f,married,y,achievement
13623,29,USA,f,married,y,affection
2142,26,USA,f,married,y,affection
6466,39,USA,f,married,y,achievement
13623,29,USA,f,married,y,affection
2142,26,USA,f,married,y,affection
6466,39,USA,f,married,y,achievement
13623,29,USA,f,married,y,leisure
3175,64,USA,f,married,y,bonding
3175,64,USA,f,married,y,affection
3175,64,USA,f,married,y,affection
5300,37,USA,m,married,y,enjoy_the_moment
7340,66,USA,f,divorced,y,achievement
5300,37,USA,m,married,y,affection
7340,66,USA,f,divorced,y,achievement
5300,37,USA,m,married,y,affection
7340,66,USA,f,divorced,y,achievement
2563,43,USA,f,single,y,affection
12715,24,USA,m,single,n,achievement
2580,29,USA,f,married,y,achievement
12626,60,GBR,f,married,n,affection
2563,43,USA,f,single,y,achievement
12715,24,USA,m,single,n,nature
2580,29,USA,f,married,y,affection
12626,60,GBR,f,married,n,bonding
2563,43,USA,f,single,y,bonding
12715,24,USA,m,single,n,achievement
2580,29,USA,f,married,y,affection
12626,60,GBR,f,married,n,affection
4929,46,USA,f,married,n,achievement
3475,44,USA,m,married,y,achievement
3179,31,USA,m,married,n,achievement
4929,46,USA,f,married,n,achievement
3475,44,USA,m,married,y,achievement
3179,31,USA,m,married,n,achievement
4929,46,USA,f,married,n,leisure
3475,44,USA,m,married,y,affection
3179,31,USA,m,married,n,bonding
12611,34,USA,m,divorced,n,affection
12611,34,USA,m,divorced,n,affection
12611,34,USA,m,divorced,n,achievement
4190,24,USA,m,single,n,affection
4158,25,IND,m,single,n,bonding
2580,29,USA,f,married,y,affection
4190,24,USA,m,single,n,bonding
4158,25,IND,m,single,n,affection
2580,29,USA,f,married,y,achievement
4190,24,USA,m,single,n,achievement
4158,25,IND,m,single,n,leisure
2580,29,USA,f,married,y,affection
5614,48,USA,f,divorced,y,affection
4190,24,USA,m,single,n,enjoy_the_moment
2811,40,NLD,f,single,y,affection
5614,48,USA,f,divorced,y,achievement
4190,24,USA,m,single,n,affection
2811,40,NLD,f,single,y,affection
5614,48,USA,f,divorced,y,affection
4190,24,USA,m,single,n,enjoy_the_moment
2811,40,NLD,f,single,y,achievement
2999,29,USA,f,married,y,affection
2999,29,USA,f,married,y,achievement
2999,29,USA,f,married,y,enjoy_the_moment
1896,32,USA,m,married,n,leisure
1896,32,USA,m,married,n,bonding
1896,32,USA,m,married,n,achievement
3179,31,USA,m,married,n,bonding
2999,29,USA,f,married,y,affection
3475,44,USA,m,married,y,affection
3179,31,USA,m,married,n,achievement
2999,29,USA,f,married,y,affection
3475,44,USA,m,married,y,affection
3179,31,USA,m,married,n,achievement
2999,29,USA,f,married,y,affection
3475,44,USA,m,married,y,affection
2563,43,USA,f,single,y,enjoy_the_moment
10081,30,USA,m,single,n,bonding
1896,32,USA,m,married,n,achievement
2811,40,NLD,f,single,y,achievement
6623,50,USA,m,married,y,achievement
8803,22,USA,f,single,n,affection
10914,41,USA,f,married,n,affection
2387,27,USA,m,single,n,achievement
2563,43,USA,f,single,y,achievement
10081,30,USA,m,single,n,achievement
1896,32,USA,m,married,n,affection
2811,40,NLD,f,single,y,achievement
6623,50,USA,m,married,y,affection
8803,22,USA,f,single,n,achievement
10914,41,USA,f,married,n,affection
2387,27,USA,m,single,n,achievement
2563,43,USA,f,single,y,affection
10081,30,USA,m,single,n,affection
1896,32,USA,m,married,n,bonding
2811,40,NLD,f,single,y,affection
6623,50,USA,m,married,y,bonding
8803,22,USA,f,single,n,affection
10914,41,USA,f,married,n,bonding
2387,27,USA,m,single,n,affection
12006,21,USA,f,single,n,affection
4219,30,USA,m,separated,n,achievement
12006,21,USA,f,single,n,achievement
4219,30,USA,m,separated,n,achievement
12006,21,USA,f,single,n,enjoy_the_moment
9182,41,USA,f,married,y,affection
8932,30,USA,f,single,y,achievement
9182,41,USA,f,married,y,affection
8932,30,USA,f,single,y,achievement
9182,41,USA,f,married,y,affection
8932,30,USA,f,single,y,affection
13622,26,USA,f,single,n,achievement
13622,26,USA,f,single,n,achievement
13622,26,USA,f,single,n,affection
2811,40,NLD,f,single,y,achievement
2811,40,NLD,f,single,y,achievement
2811,40,NLD,f,single,y,achievement
4219,30,USA,m,separated,n,achievement
1460,29,USA,f,married,y,achievement
2999,29,USA,f,married,y,affection
4219,30,USA,m,separated,n,achievement
1460,29,USA,f,married,y,achievement
2999,29,USA,f,married,y,affection
4219,30,USA,m,separated,n,bonding
1460,29,USA,f,married,y,achievement
2999,29,USA,f,married,y,achievement
11500,36,USA,m,married,y,affection
11500,36,USA,m,married,y,affection
11500,36,USA,m,married,y,affection
1460,29,USA,f,married,y,affection
1460,29,USA,f,married,y,achievement
