wid,age,gender,marital,parenthood,predicted_category
1,37,m,married,y,achievement
2,29,m,married,y,achievement
3,25,m,single,n,achievement
4,32,m,married,y,achievement
5,29,m,married,y,achievement
6,35,m,married,y,achievement
7,34,m,married,y,achievement
8,29,m,single,n,achievement
10,27,m,single,n,achievement
12,25,f,single,n,achievement
13,45,m,married,y,achievement
14,25,m,married,y,achievement
15,27,m,married,y,achievement
16,35,m,single,n,achievement
17,30,m,single,n,achievement
18,30,m,single,n,achievement
19,29,m,married,n,achievement
20,40,m,married,y,achievement
21,29,m,single,y,achievement
22,32,m,single,n,achievement
23,27,m,single,n,achievement
24,35,f,single,n,achievement
25,32,m,married,y,achievement
26,31,f,married,y,achievement
27,28,m,married,y,achievement
28,36,m,married,y,achievement
29,44,m,single,n,achievement
30,37,m,married,y,achievement
31,31,f,married,n,achievement
32,45,f,married,y,achievement
33,44,m,married,y,achievement
34,23,m,single,n,achievement
35,26,m,single,n,achievement
36,37,m,single,n,achievement
37,23,m,single,n,achievement
38,26,m,single,y,achievement
39,36,m,married,y,achievement
40,28,m,single,n,achievement
41,26,m,single,n,achievement
42,32,m,single,n,achievement
43,36,m,married,y,achievement
44,42,f,single,n,achievement
45,23,m,single,n,achievement
46,29,m,single,n,achievement
47,41,m,married,n,achievement
49,35,m,married,n,achievement
50,30,m,single,y,achievement
51,30,m,single,n,achievement
52,29,m,married,y,achievement
53,32,m,married,y,achievement
54,29,f,married,y,achievement
55,26,m,married,y,achievement
56,24,f,single,n,achievement
57,34,m,single,n,achievement
58,38,m,married,n,achievement
59,43,m,single,n,achievement
60,29,m,single,n,achievement
61,29,m,single,n,achievement
63,25,m,single,n,achievement
64,48,f,married,y,achievement
65,30,m,single,n,achievement
66,41,f,single,n,achievement
67,44,m,married,y,achievement
68,37,m,single,y,achievement
69,23,m,married,y,achievement
70,28,f,married,y,achievement
71,26,m,single,y,achievement
72,25,m,single,y,achievement
73,38,f,married,y,achievement
74,27,f,married,y,achievement
75,25,m,married,y,achievement
76,29,m,married,y,achievement
77,29,m,single,n,achievement
78,28,f,married,y,achievement
79,27,m,single,n,achievement
81,30,m,single,y,achievement
82,53,f,single,n,achievement
83,30,m,single,n,achievement
84,32,m,married,y,achievement
85,23,f,single,n,achievement
86,27,m,single,n,achievement
87,36,f,single,n,achievement
88,46,f,married,y,achievement
89,36,f,single,n,achievement
90,32,m,married,y,achievement
91,29,m,single,n,achievement
92,54,f,married,y,achievement
93,35,m,single,y,achievement
94,28,m,single,n,achievement
95,37,m,married,y,achievement
96,28,f,married,y,achievement
97,29,m,single,n,achievement
98,34,m,married,y,achievement
99,38,m,single,n,achievement
100,34,m,married,y,achievement
101,29,m,married,y,achievement
102,27,f,married,y,achievement
103,26,f,single,y,achievement
104,25,m,married,n,achievement
106,44,f,married,y,achievement
107,37,m,single,y,achievement
108,26,m,single,n,achievement
110,25,m,single,y,achievement
112,48,f,married,y,achievement
114,34,m,married,y,achievement
115,25,m,single,n,achievement
116,27,f,single,n,achievement
117,22,m,single,n,achievement
118,34,f,single,n,achievement
