wid,age,country,gender,marital,parenthood,predicted_category
2053,35,USA,m,single,n,affection
2,29,IND,m,married,y,affection
1936,30,USA,f,married,y,exercise
206,28,DNK,f,married,n,bonding
6227,55,USA,f,divorced,y,affection
45,23,IND,m,single,n,leisure
195,30,USA,m,single,n,achievement
740,23,IND,m,single,n,affection
3,25,IND,m,single,n,enjoy_the_moment
4833,41,USA,f,married,y,affection
7334,37,USA,m,single,y,leisure
78,28,USA,f,married,y,exercise
21,29,IND,m,single,y,bonding
8,29,VNM,m,single,n,achievement
586,28,IND,f,single,y,enjoy_the_moment
489,39,IND,m,married,y,affection
976,25,KWT,f,married,y,bonding
3972,28,USA,m,single,n,achievement
14,25,IND,m,married,y,bonding
1230,32,USA,f,single,n,affection
9950,38,USA,f,single,n,achievement
4862,42,IND,m,married,y,affection
4891,25,USA,m,single,n,achievement
737,25,IND,f,single,y,enjoy_the_moment
498,27,IND,m,married,y,affection
2124,22,USA,m,single,n,achievement
156,47,USA,f,married,n,affection
1783,26,USA,m,single,n,leisure
54,29,IND,f,married,y,affection
794,37,USA,m,single,n,affection
1510,38,USA,m,single,n,achievement
6215,32,USA,f,married,y,affection
402,26,USA,m,married,n,nature
2957,34,USA,m,married,y,bonding
261,25,IND,f,married,y,nature
516,29,USA,m,single,y,affection
1215,26,IND,m,married,y,bonding
848,30,USA,f,married,y,affection
396,34,IND,f,married,y,affection
4,32,USA,m,married,y,achievement
2272,27,USA,m,single,n,bonding
157,33,IND,m,married,n,affection
466,32,IND,m,married,y,affection
1566,48,USA,m,divorced,y,enjoy_the_moment
36,37,USA,m,single,n,achievement
2019,25,USA,m,married,y,bonding
4109,40,USA,m,married,y,nature
373,26,USA,f,single,n,affection
10576,31,PHL,m,married,n,enjoy_the_moment
2129,34,IND,f,married,y,achievement
553,32,IND,m,married,y,achievement
311,27,USA,m,single,n,achievement
104,25,GBR,m,married,n,affection
3284,25,USA,m,single,n,achievement
2776,26,USA,f,single,n,affection
25,32,IND,m,married,y,achievement
257,27,IND,f,single,n,affection
13224,25,IND,m,single,n,achievement
1377,36,USA,m,single,n,achievement
5652,18,USA,m,single,n,bonding
57,34,USA,m,single,n,affection
612,28,IND,m,married,y,achievement
2646,41,IND,m,married,y,affection
2794,41,IND,m,separated,n,achievement
9885,33,USA,f,married,y,affection
6186,31,IND,f,married,y,affection
491,30,IND,f,married,y,affection
1020,37,IND,m,married,y,achievement
1625,25,IND,m,single,n,achievement
1782,33,USA,m,single,n,affection
330,51,USA,m,divorced,y,achievement
589,30,USA,m,single,n,affection
35,26,IND,m,single,n,exercise
524,42,USA,m,married,y,achievement
477,29,IND,f,married,y,enjoy_the_moment
37,23,USA,m,single,n,achievement
215,26,IND,m,married,n,affection
2416,26,FIN,f,single,n,affection
8589,31,USA,f,married,n,leisure
237,27,IND,m,married,n,enjoy_the_moment
69,23,USA,m,married,y,achievement
648,24,IND,m,married,n,enjoy_the_moment
1430,33,USA,m,single,n,exercise
15,27,USA,m,married,y,affection
